"","pre_vote_intention","pre_vote_preference","pre_feel_clinton","pre_feel_trump","pre_feel_dem","pre_feel_rep","pre_ideo_self","pre_guaranteed_job","pre_birthright_citizenship","pre_help_blacks","pre_wall_mexico","pre_enviroment","pre_troops_isis","pre_syrian_refugee","pre_climate","pre_paid_leave","post_equal_pay","post_vaccine","post_freetrade","post_bank_regulation","post_healthcare","post_feel_clinton","post_feel_trump","post_feel_christian_fundamentalists","post_feel_feminists","post_feel_liberals","post_feel_labor_unions","post_feel_poor_people","post_feel_big_business","post_feel_conservatives","post_feel_the_u.s._supreme_court","post_feel_gay_men_and_lesbians","post_feel_congress","post_feel_rich_people","post_feel_muslims","post_feel_christians","post_feel_jews","post_feel_tea_party","post_feel_police","post_feel_transgender_people","post_feel_scientists","post_feel_black_lives_matter","pre_budget_sec","pre_budget_school","pre_budget_sci","pre_budget_crime","pre_budget_welfare","pre_budget_childcare","pre_budget_poverty","pre_budget_env","religion_importance","age","edu_num","race","gender","income_group","weight"
"3099","Yes","Trump",18,71,42,40,6,2,1,1,4,2,2,6,4,1,1,1,4,2,2,17,87,5,61,25,3,72,85,80,77,82,61,57,72,81,87,62,94,41,86,2,1,1,0,1,0,1,0,0,1,76,14,"White, non-Hispanic","Female",27,0.766
"3100","Yes","Trump",15,85,50,50,NA,99,7,1,7,99,7,7,4,4,1,2,1,2,4,15,60,15,NA,NA,NA,NA,15,NA,50,15,50,50,NA,50,NA,NA,50,15,70,0,1,0,0,1,-1,-1,-1,0,0,51,12,"White, non-Hispanic","Female",27,0.361
"3101","Yes","Trump",16,85,33,71,4,3,7,1,7,4,7,7,2,2,1,2,6,1,7,18,99,NA,NA,NA,NA,NA,72,72,NA,NA,51,72,NA,NA,NA,NA,72,NA,NA,NA,1,1,1,1,-1,-1,-1,1,0,63,11,"White, non-Hispanic","Male",27,0.748
"3102",NA,NA,100,0,100,0,NA,1,7,7,1,1,7,1,1,7,1,1,1,4,4,NA,0,50,70,100,NA,100,50,NA,NA,85,NA,50,85,100,100,50,NA,100,100,100,1,1,1,1,1,1,1,1,1,20,9,"Hispanic","Male",6,1.074
"3103","Yes","Clinton",85,0,100,0,NA,3,4,7,6,7,4,5,4,4,2,2,5,7,5,70,0,50,85,90,90,80,60,0,30,100,80,20,70,70,60,0,80,80,100,90,1,0,0,0,0,0,0,-1,1,31,11,"Hispanic","Male",2,0.624
"3104","Yes","Trump",17,86,14,82,6,5,6,2,7,2,3,4,4,2,1,5,3,4,4,32,71,65,74,31,4,66,34,92,52,86,10,63,44,90,92,70,89,64,94,2,0,1,0,1,0,0,0,0,1,39,13,"White, non-Hispanic","Female",17,0.856
"3105","Yes","Clinton",100,0,100,0,NA,99,4,4,99,1,4,4,4,4,1,4,4,4,4,100,0,50,90,55,50,85,55,50,85,100,80,50,50,85,85,50,99,65,80,85,1,1,1,1,0,1,1,1,1,52,11,"Hispanic","Female",3,0.461
"3106","Yes","Clinton",70,0,40,60,4,5,3,7,99,4,6,2,3,6,1,1,2,4,4,70,15,85,60,40,40,85,50,60,70,40,30,60,60,100,70,40,85,40,70,60,1,0,0,1,0,0,0,0,1,57,14,"White, non-Hispanic","Female",22,0.41
"3107","Yes","Trump",15,70,0,70,6,7,2,4,7,4,2,7,7,4,1,1,6,6,7,15,85,70,15,15,15,85,85,100,70,70,40,70,15,100,50,30,100,15,50,30,1,0,0,1,-1,-1,-1,-1,1,79,13,"White, non-Hispanic","Female",13,0.809
"3108","Yes",NA,60,0,70,15,NA,99,1,2,4,99,4,6,3,1,1,1,6,4,2,70,0,70,70,50,70,70,50,50,70,50,50,85,70,85,85,50,85,50,85,85,1,1,0,1,0,0,1,1,1,58,12,"Black, non-Hispanic","Female",16,0.667
"3109","Yes","Trump",0,99,1,84,6,4,4,1,5,99,3,4,4,1,1,2,4,4,4,0,100,50,40,15,85,85,85,85,60,60,40,60,60,100,85,70,100,50,85,70,0,1,0,1,0,0,0,1,1,80,10,"White, non-Hispanic","Female",17,0.908
"3110","Yes","Trump",3,3,5,33,4,5,7,7,6,4,2,2,4,2,1,1,4,4,4,2,25,31,85,31,50,70,50,41,71,79,31,51,61,65,70,16,85,71,70,41,1,-1,1,0,-1,1,-1,1,1,70,14,"White, non-Hispanic","Female",28,0.858
"3111","Yes","Clinton",76,1,65,47,4,4,7,7,2,4,7,1,2,2,1,2,2,2,4,60,30,15,30,70,50,100,60,30,40,0,60,40,60,100,85,50,85,0,85,60,1,1,1,1,1,1,1,0,1,62,9,"Black, non-Hispanic","Male",13,1.246
"3112","Yes",NA,0,0,50,50,NA,99,4,4,99,99,5,4,6,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,60,95,"Other",NA,NA,0.658
"3113","Yes","Trump",0,85,15,70,6,6,4,2,5,6,2,7,7,4,4,1,2,6,4,15,100,50,50,30,15,50,70,85,40,50,50,70,15,50,50,70,70,15,70,50,0,-1,0,0,-1,0,-1,-1,0,77,13,"White, non-Hispanic","Male",23,0.723
"3114","Yes","Trump",15,70,30,60,6,7,1,1,3,2,2,7,4,5,1,2,7,1,4,1,99,NA,84,84,72,98,72,85,71,84,85,84,71,99,98,86,86,71,84,72,0,-1,1,1,-1,0,0,0,1,77,9,"White, non-Hispanic","Female",11,1.475
"3115","Yes","Trump",30,70,15,80,5,7,2,4,7,5,2,4,4,1,1,1,4,2,6,0,20,45,50,20,35,50,30,55,15,50,15,50,45,50,50,60,65,50,70,35,0,1,1,0,-1,-1,-1,0,1,32,13,"White, non-Hispanic","Male",23,0.696
"3116","Yes","Trump",0,60,30,70,6,5,4,1,6,7,4,7,2,1,1,NA,7,6,4,0,90,100,50,40,86,90,41,95,60,51,41,50,1,100,52,70,86,16,100,5,1,1,1,1,-1,1,-1,0,1,63,13,"White, non-Hispanic","Female",NA,1.191
"3117","No",NA,0,100,NA,NA,NA,1,1,1,1,99,6,7,2,1,1,4,4,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,85,50,1,1,1,1,1,1,1,1,0,66,13,"Other","Female",3,0.612
"3118","Yes","Trump",15,60,15,15,4,4,4,4,4,5,4,6,2,4,1,2,4,2,2,15,40,50,50,50,50,60,30,60,60,50,40,50,50,70,60,50,60,50,70,60,1,0,1,1,0,0,0,1,1,82,15,"White, non-Hispanic","Female",12,0.396
"3119","Yes","Clinton",100,0,85,0,4,3,1,4,2,1,2,7,2,2,1,1,4,1,4,85,0,40,60,85,70,60,30,60,30,50,30,50,40,85,85,40,40,50,100,85,1,1,1,1,-1,1,1,1,1,59,13,"Other",NA,NA,0.382
"3120","Yes","Clinton",100,0,99,1,NA,7,4,1,7,1,7,7,1,1,2,4,4,4,4,85,40,60,40,50,60,100,50,50,40,50,40,15,60,100,40,60,30,30,70,30,1,0,1,1,1,-1,1,0,1,49,8,"Hispanic","Male",1,1.855
"3121","Yes","Trump",70,100,100,60,4,1,4,4,1,1,4,2,7,4,4,1,1,4,1,85,40,NA,85,70,70,60,85,70,70,70,70,NA,70,100,70,NA,70,70,70,NA,1,1,1,-1,1,1,1,1,1,48,13,"Hispanic","Male",1,1.181
"3122","Yes",NA,0,30,0,15,6,4,2,1,7,3,2,7,4,2,1,2,2,1,6,60,2,50,100,70,61,85,31,70,60,70,40,50,61,70,70,30,85,70,70,70,1,1,0,1,-1,1,-1,1,0,64,10,"White, non-Hispanic","Female",15,0.768
"3123","Yes","Clinton",40,0,50,50,3,5,1,6,7,6,2,7,2,4,1,1,4,2,6,16,16,33,60,51,85,31,61,51,62,93,61,51,30,61,72,31,87,84,87,18,1,1,1,1,-1,1,1,0,1,45,13,"White, non-Hispanic","Female",17,0.431
"3124","Yes","Trump",0,85,15,85,6,6,2,1,7,99,1,6,4,1,2,2,4,1,6,0,71,85,15,32,50,52,80,97,70,51,40,70,51,99,71,85,98,49,86,0,0,1,0,0,-1,0,1,0,1,NA,13,"White, non-Hispanic","Male",NA,0.75
"3125","Yes","Clinton",70,0,85,15,2,1,7,7,1,1,4,4,1,2,1,2,4,3,3,85,0,50,85,100,100,100,15,0,40,70,15,30,70,70,60,0,50,50,100,100,0,1,1,0,0,0,0,1,1,60,13,"Other","Female",13,1.148
"3126","Yes","Clinton",85,50,100,50,4,1,2,2,2,1,7,7,1,1,1,4,4,4,1,70,50,60,60,50,60,85,85,60,85,50,85,60,60,85,60,50,70,60,60,100,1,1,0,1,1,0,1,1,1,47,9,"Black, non-Hispanic","Male",11,3.757
"3127","Yes","Clinton",30,0,70,0,NA,1,4,7,99,1,3,4,1,1,3,2,5,2,3,70,15,50,70,100,100,100,85,70,65,70,75,60,50,80,70,50,85,70,85,100,0,1,0,0,0,1,1,1,1,26,10,"Hispanic","Female",9,0.52
"3128","Yes",NA,27,42,40,69,3,7,4,7,6,4,2,5,4,4,1,1,2,4,4,71,40,31,84,77,50,61,61,65,61,85,52,81,51,94,99,41,61,87,92,61,0,0,0,0,-1,-1,-1,-1,1,51,14,"White, non-Hispanic","Male",26,0.888
"3129","Yes","Clinton",85,0,85,15,2,4,4,7,3,1,4,3,1,2,2,3,3,2,2,85,0,0,70,85,40,50,30,15,50,60,50,50,70,60,50,15,40,60,100,40,0,1,-1,1,1,1,1,1,0,37,14,"White, non-Hispanic","Male",27,0.414
"3130","Yes","Clinton",60,0,70,100,4,2,1,4,6,99,7,7,3,1,1,1,4,2,4,60,0,50,50,50,15,15,50,60,60,50,50,30,15,70,50,15,70,50,60,60,1,1,0,1,-1,1,1,1,0,66,9,"White, non-Hispanic","Female",21,1.385
"3131","No",NA,15,60,15,50,NA,4,1,4,4,6,4,7,4,1,1,4,4,4,2,61,0,50,50,50,50,100,50,50,50,100,50,100,100,100,100,50,100,100,100,50,1,1,0,1,-1,1,0,0,0,46,9,"White, non-Hispanic","Female",17,1.621
"3132","Yes",NA,35,50,50,35,3,2,2,4,6,3,4,6,4,1,1,1,7,1,6,20,30,50,40,60,100,40,20,30,30,60,20,20,20,50,50,50,70,60,85,15,-1,1,0,0,-1,0,-1,0,0,32,10,"White, non-Hispanic","Female",23,0.827
"3133","Yes",NA,30,15,30,30,5,3,2,6,4,99,4,4,4,2,1,1,4,5,4,40,60,50,50,50,50,85,40,70,51,50,40,50,50,85,50,50,95,50,50,50,1,1,0,0,-1,1,0,0,1,52,11,"White, non-Hispanic","Female",23,0.855
"3134","Yes",NA,30,30,50,70,6,3,7,6,4,1,4,4,2,1,1,2,4,4,7,3,85,69,70,2,0,70,50,98,72,30,60,50,50,97,60,50,85,33,72,50,1,1,0,0,0,1,1,1,1,39,10,"White, non-Hispanic","Female",11,0.68
"3135","No",NA,31,51,48,40,NA,4,1,4,7,6,7,7,4,4,1,4,6,1,3,2,60,28,58,37,66,80,13,41,46,50,12,48,63,76,69,7,93,67,65,35,1,1,0,1,0,0,0,0,0,58,10,"White, non-Hispanic","Female",13,1.666
"3136","Yes","Trump",33,61,50,30,6,3,1,4,7,1,7,7,2,2,1,3,4,4,2,2,87,61,2,50,62,60,49,70,50,59,30,60,51,87,51,52,87,15,60,31,1,1,1,1,-1,1,1,1,1,59,9,"White, non-Hispanic","Male",19,1.214
"3137","Yes","Clinton",61,3,85,1,2,1,7,7,1,1,7,2,2,4,1,3,4,4,1,50,0,40,85,85,50,85,40,30,70,60,40,50,60,60,50,40,70,60,85,60,1,1,0,1,1,1,1,1,0,69,9,"Asian, native Hawaiian or other Pacif Islr,non-Hispanic","Male",11,1.199
"3138",NA,NA,0,70,15,50,6,6,1,4,6,6,3,7,7,2,1,1,4,4,2,0,85,15,50,15,15,100,100,100,70,70,70,100,50,100,70,70,100,50,70,0,1,1,1,1,-1,0,0,-1,0,69,10,"White, non-Hispanic","Male",10,0.624
"3139",NA,NA,0,100,0,0,5,3,4,6,4,3,4,4,4,5,2,4,4,1,6,0,75,50,0,50,80,50,51,51,52,50,47,65,48,50,48,50,49,7,86,50,-1,0,-1,0,1,-1,0,-1,1,18,10,"White, non-Hispanic","Other",23,1.541
"3140","Yes","Trump",60,70,60,60,4,1,4,2,3,6,1,6,2,4,2,1,7,1,5,NA,60,30,39,70,83,69,70,59,59,50,16,30,30,49,49,28,85,15,85,30,1,0,-1,0,-1,0,-1,0,0,69,10,"White, non-Hispanic","Male",14,0.618
"3141","Yes","Clinton",NA,0,70,70,4,4,7,7,4,3,1,5,2,2,2,6,6,2,2,60,30,50,50,50,100,60,50,60,50,0,50,30,50,100,50,50,40,0,100,0,1,-1,1,1,-1,-1,1,0,1,26,10,"Hispanic","Other",7,1.321
"3142","Yes","Clinton",60,30,85,50,2,1,6,7,99,99,7,4,1,4,4,5,6,4,4,50,40,50,15,100,100,100,15,50,85,100,60,50,100,100,100,50,100,100,100,50,1,0,0,0,-1,-1,0,-1,0,19,10,"Hispanic","Male",7,2.297
"3143",NA,NA,0,100,0,100,6,5,1,1,6,6,4,7,6,3,2,5,1,5,6,1,98,51,50,0,0,86,69,100,62,72,40,85,71,72,71,85,72,51,60,0,0,1,0,0,-1,0,0,0,1,49,13,"White, non-Hispanic","Male",14,0.941
"3144","Yes","Clinton",82,15,60,39,2,99,4,7,4,3,4,1,4,3,1,1,1,1,2,84,2,15,86,72,50,53,16,46,60,86,39,48,50,51,53,2,85,58,86,80,1,0,0,0,0,0,0,1,1,56,15,"White, non-Hispanic","Female",27,1.34
"3145","Yes",NA,15,0,15,0,3,4,7,7,2,1,7,4,1,1,1,1,7,1,4,50,0,0,20,75,100,50,20,10,40,100,60,20,60,10,50,0,90,0,85,50,1,1,1,0,-1,-1,1,1,1,75,3,"Hispanic","Male",7,3.278
"3146","Yes","Clinton",100,0,99,NA,7,7,7,7,1,4,2,1,2,2,2,5,4,4,2,100,0,97,92,39,84,97,95,82,97,1,81,63,83,98,99,99,89,NA,99,88,1,-1,0,1,1,1,1,1,1,32,9,"Hispanic","Female",15,0.832
"3147","Yes","Trump",0,85,15,70,7,6,1,1,7,4,2,7,1,1,1,2,2,1,4,0,85,60,60,50,60,50,60,85,70,15,60,70,0,85,50,70,85,15,70,0,-1,1,1,1,-1,1,0,1,1,61,15,"White, non-Hispanic","Female",26,0.809
"3148","Yes","Clinton",60,0,60,15,4,5,4,3,4,4,3,4,2,4,1,1,4,4,2,62,NA,71,51,61,63,86,44,52,51,51,52,52,52,100,73,41,88,31,71,51,0,1,0,0,0,0,0,0,1,68,14,"White, non-Hispanic","Female",1,0.705
"3149",NA,NA,85,0,85,15,3,4,1,7,99,1,2,2,2,2,1,1,6,1,1,60,15,1,50,70,60,50,70,50,50,50,50,50,50,50,50,50,60,100,70,100,1,1,0,1,0,0,1,1,0,43,11,"White, non-Hispanic","Male",25,0.772
"3150","Yes","Trump",2,86,41,61,4,99,4,1,7,99,5,7,4,4,1,4,4,4,NA,2,85,NA,11,35,50,61,48,50,50,34,19,50,14,97,52,NA,85,0,52,2,1,1,-1,1,0,1,1,0,1,46,9,"White, non-Hispanic","Female",NA,2.666
"3151","Yes","Clinton",70,20,100,40,5,6,7,6,5,1,4,4,2,1,1,2,4,1,2,77,1,79,96,53,91,87,55,36,45,93,35,49,57,94,50,65,74,87,82,NA,0,1,1,1,0,1,1,0,1,26,12,"Black, non-Hispanic","Female",6,0.34
"3152","Yes","Trump",0,100,50,50,NA,4,1,1,5,4,4,6,2,1,1,2,4,4,7,0,100,60,85,50,50,85,60,50,50,50,50,50,50,100,85,50,85,40,50,15,1,1,0,1,1,1,1,1,1,47,10,"White, non-Hispanic","Male",1,0.588
"3153","Yes","Trump",0,70,16,60,6,4,4,3,4,5,5,6,6,4,7,1,6,5,5,0,70,40,86,41,41,85,71,84,84,85,70,61,15,84,85,41,85,85,85,15,1,1,1,0,0,0,0,-1,0,40,11,"White, non-Hispanic","Male",15,0.454
"3154","Yes","Trump",0,60,0,100,4,7,6,2,7,4,2,6,2,4,1,1,6,1,6,0,40,100,100,70,85,100,100,70,85,100,100,100,100,100,100,100,100,100,100,100,1,1,1,0,-1,1,-1,1,1,37,14,"White, non-Hispanic","Female",28,0.822
"3155","Yes","Clinton",75,0,80,75,NA,99,4,7,99,99,7,4,2,4,1,5,2,4,2,85,17,70,67,66,79,90,66,70,52,63,12,18,52,51,21,71,40,50,100,2,0,1,1,0,0,1,1,0,0,58,7,"Hispanic","Male",18,2.594
"3156","Yes",NA,30,54,50,56,6,4,6,7,4,4,1,4,4,3,1,2,2,4,4,40,57,85,54,38,69,56,63,80,47,45,30,54,40,100,72,69,81,38,70,34,0,0,0,0,0,0,0,0,0,59,13,"White, non-Hispanic","Female",NA,0.928
"3157","No",NA,30,60,40,70,5,3,4,2,5,4,3,5,4,4,2,5,4,4,3,70,41,50,40,33,84,52,41,41,51,40,41,51,17,62,51,51,85,41,61,18,-1,1,0,1,-1,1,0,1,0,44,9,"White, non-Hispanic","Male",13,0.992
"3158","Yes","Clinton",84,0,100,1,4,4,4,6,6,4,4,4,1,2,1,3,4,4,1,90,0,50,85,60,65,71,30,69,86,89,51,45,84,100,89,52,85,85,92,50,1,1,1,0,-1,0,0,1,1,54,13,"White, non-Hispanic","Female",13,0.431
"3159","Yes",NA,0,30,50,50,6,6,1,1,7,6,1,7,7,4,1,1,7,4,7,0,60,85,50,0,40,85,100,85,60,0,0,70,50,100,85,85,100,0,50,0,1,0,0,0,-1,0,0,-1,1,65,9,"White, non-Hispanic","Male",9,1.511
"3160","Yes","Clinton",79,15,76,35,4,2,4,4,4,2,4,4,2,1,2,4,4,2,4,83,28,50,50,52,51,57,51,50,49,94,38,43,50,51,49,52,85,52,95,50,1,1,1,1,1,1,1,1,0,39,9,"White, non-Hispanic","Male",18,1.321
"3161","Yes","Trump",30,15,8,42,6,6,6,7,6,3,2,7,6,5,1,6,6,4,6,4,42,99,14,15,50,92,33,95,84,83,31,50,85,99,85,72,97,85,74,25,1,-1,-1,0,-1,-1,1,-1,1,43,14,"White, non-Hispanic","Female",18,0.83
"3162","Yes","Clinton",70,0,50,50,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,70,0,50,85,50,60,60,50,50,50,85,50,40,50,50,50,50,40,60,50,100,0,-1,0,-1,1,-1,-1,1,1,20,9,"Hispanic","Female",5,2.186
"3163","Yes","Clinton",75,0,70,20,2,3,7,7,2,1,1,1,1,2,5,1,1,4,2,64,0,32,96,71,80,100,85,61,85,100,4,77,94,91,100,5,63,100,95,100,1,1,0,1,1,0,1,1,0,26,13,"White, non-Hispanic","Male",9,0.363
"3164","Yes","Clinton",100,0,100,0,2,1,7,7,4,1,7,1,1,1,1,1,1,1,1,100,0,15,85,100,100,85,50,0,70,85,50,50,70,85,85,0,85,85,100,85,1,1,1,0,0,0,0,1,1,59,9,"White, non-Hispanic","Female",7,1.186
"3165","Yes","Clinton",60,0,70,15,2,1,2,4,4,4,4,2,1,1,1,2,2,1,1,85,0,15,70,85,85,40,40,15,85,100,15,30,85,85,85,15,40,85,100,85,1,1,1,-1,-1,1,0,1,0,24,11,"White, non-Hispanic","Male",17,1.163
"3166","Yes","Trump",40,85,40,85,NA,5,7,4,99,99,4,4,1,1,1,6,6,7,4,0,100,50,50,50,50,50,50,50,50,70,50,50,50,85,50,50,60,70,70,60,1,1,1,1,0,1,1,1,1,30,10,"Hispanic","Female",6,0.431
"3167","Yes","Trump",50,85,70,70,NA,99,1,1,99,99,4,4,4,4,2,7,7,1,1,31,71,61,50,51,17,50,31,50,78,50,56,50,50,91,51,51,56,50,79,50,-1,0,0,0,0,0,0,0,1,58,12,"Black, non-Hispanic","Female",9,0.449
"3168","Yes","Trump",0,85,0,0,7,7,1,1,5,99,1,5,2,4,1,1,4,6,4,0,60,50,50,15,60,70,50,70,40,30,0,50,0,85,50,0,60,0,60,0,0,0,1,1,0,0,0,1,1,78,10,"White, non-Hispanic","Female",10,0.404
"3169","Yes",NA,30,0,50,30,4,5,6,2,2,2,2,4,4,1,1,4,2,1,4,50,15,50,70,70,15,85,15,70,60,85,0,50,85,85,85,70,85,85,85,50,1,1,0,0,0,0,0,0,1,47,13,"White, non-Hispanic","Female",25,1.033
"3170","Yes","Clinton",78,9,51,52,4,4,2,7,5,99,4,5,4,2,2,4,4,4,6,70,1,56,49,45,54,50,42,44,78,93,46,27,50,88,73,45,90,78,33,69,1,1,0,1,0,0,0,0,0,55,9,"White, non-Hispanic","Male",14,1.093
"3171","Yes","Clinton",60,0,0,0,1,4,7,7,1,1,6,1,1,1,1,1,6,1,1,30,1,2,86,71,60,85,13,15,68,85,16,14,47,14,86,0,71,91,97,74,1,1,1,-1,1,1,1,1,0,41,14,"White, non-Hispanic","Female",16,1.033
"3172","Yes","Clinton",86,2,99,50,NA,99,1,4,1,99,2,7,6,6,4,6,4,4,6,90,0,50,50,50,50,50,60,50,50,50,50,50,50,50,50,50,0,50,50,50,1,1,1,1,-1,1,1,1,1,39,9,"Black, non-Hispanic","Female",11,3.054
"3173","Yes","Clinton",100,0,50,60,4,4,7,1,99,99,4,4,1,4,1,4,4,4,7,100,0,15,85,50,100,100,60,40,85,100,30,0,30,50,15,50,50,30,50,100,1,1,1,1,1,1,1,1,1,59,10,"Black, non-Hispanic","Male",9,0.845
"3174","Yes","Trump",31,85,50,50,5,4,1,1,4,5,4,7,4,4,1,1,3,4,3,18,80,50,50,32,50,84,60,60,66,70,40,50,70,70,70,84,93,61,85,2,0,0,1,1,-1,0,0,-1,0,48,13,"White, non-Hispanic","Male",19,0.967
"3175",NA,NA,30,0,50,15,NA,99,1,4,99,99,2,7,1,1,1,3,4,4,4,70,0,50,70,70,100,100,50,70,70,100,15,100,50,100,100,50,70,100,100,70,1,1,1,1,-1,0,-1,1,1,53,9,"White, non-Hispanic","Male",22,3.345
"3176","No",NA,50,0,50,50,4,5,4,3,99,1,4,7,4,6,1,4,4,6,2,74,0,72,95,16,97,99,70,12,5,65,27,2,76,98,50,3,0,52,94,100,1,1,0,1,1,-1,1,0,0,41,7,"White, non-Hispanic","Female",8,1.123
"3177","Yes",NA,16,0,16,60,6,6,2,7,3,99,7,4,4,1,1,1,2,4,4,0,16,70,0,50,50,100,50,70,70,50,60,60,40,100,50,15,85,50,85,50,-1,0,1,1,0,0,1,0,1,48,13,"White, non-Hispanic","Male",25,0.911
"3178","Yes","Trump",15,70,32,84,6,4,2,2,4,5,2,6,4,4,1,1,4,4,5,18,86,68,61,46,52,61,52,100,74,75,43,60,51,99,83,70,85,51,50,18,1,0,0,1,-1,0,0,0,0,80,9,"White, non-Hispanic","Male",17,1.316
"3179","Yes","Clinton",60,40,60,40,4,4,1,4,6,3,2,7,4,2,3,2,4,4,6,60,52,60,51,56,70,59,51,51,69,84,31,66,50,87,66,45,81,79,69,41,1,1,0,1,-1,1,1,0,1,53,10,"White, non-Hispanic","Male",20,0.913
"3180","Yes","Clinton",100,0,100,0,2,99,7,7,2,1,4,4,2,1,1,4,1,2,2,86,1,85,85,84,61,100,31,31,41,100,41,85,100,100,100,32,100,100,100,85,1,1,0,1,0,1,1,1,0,30,10,"Black, non-Hispanic","Male",12,0.345
"3181","Yes","Clinton",71,20,60,40,3,99,4,6,3,3,4,5,3,5,2,1,4,3,4,81,15,40,50,70,50,50,50,50,70,50,40,50,50,50,60,31,50,50,70,50,0,-1,0,0,-1,0,-1,0,0,60,16,"Black, non-Hispanic","Male",NA,1.007
"3182","Yes","Trump",0,70,30,70,5,6,2,6,5,5,4,4,4,2,1,1,2,6,4,15,40,50,50,15,30,60,60,70,70,15,40,85,60,100,100,40,100,40,85,50,1,1,1,1,-1,0,0,0,1,72,14,"White, non-Hispanic","Male",24,0.374
"3183","Yes","Trump",0,100,0,0,6,99,1,1,7,7,7,7,3,4,1,2,6,1,NA,0,70,50,50,0,50,NA,60,100,50,NA,0,70,0,50,30,60,85,50,85,0,1,1,1,1,-1,1,-1,0,0,NA,9,"White, non-Hispanic","Male",15,1.151
"3184","Yes",NA,40,0,40,40,4,5,7,7,5,1,2,1,1,1,1,1,3,4,3,0,0,100,100,100,15,100,50,100,50,100,50,100,100,100,100,100,60,100,100,30,1,1,0,1,-1,0,-1,1,0,29,10,"White, non-Hispanic","Female",18,0.889
"3185","Yes","Trump",2,70,31,61,4,6,7,1,7,1,1,7,4,1,2,1,7,4,6,0,85,86,100,100,40,15,0,87,0,0,73,17,4,100,85,99,99,0,50,0,1,0,0,0,-1,0,0,0,1,68,11,"White, non-Hispanic","Female",7,0.837
"3186","Yes",NA,0,70,0,70,5,7,6,4,5,3,3,4,7,6,1,6,2,NA,NA,0,70,70,0,15,30,60,40,70,40,50,80,15,40,85,85,50,85,50,70,40,NA,1,-1,-1,-1,-1,1,0,1,31,12,NA,"Male",19,0.714
"3187",NA,NA,100,0,100,0,2,2,7,7,1,2,4,1,1,1,1,3,2,2,1,100,0,0,97,98,61,100,0,0,15,100,6,14,100,25,100,15,31,98,85,95,1,1,1,1,1,1,1,1,1,32,11,"Hispanic","Female",11,0.431
"3188","Yes",NA,8,55,30,60,4,7,7,1,4,5,4,6,7,7,6,1,4,7,7,16,72,0,41,2,17,66,92,86,85,95,71,88,53,26,91,64,95,78,88,13,1,0,1,-1,-1,1,0,-1,0,35,12,"White, non-Hispanic","Male",15,0.824
"3189","Yes","Clinton",60,0,50,15,5,6,6,7,7,6,6,2,4,6,1,1,3,4,6,59,0,15,50,49,16,50,51,37,52,51,39,49,49,50,48,17,98,52,99,38,0,0,0,0,-1,-1,0,0,0,43,13,"White, non-Hispanic","Female",21,1.773
"3190","Yes","Trump",1,70,25,78,5,99,3,3,5,99,4,7,4,4,2,1,4,4,3,0,70,61,51,41,50,65,50,50,47,57,42,50,2,100,50,85,90,60,81,41,0,0,0,1,-1,0,-1,0,1,31,10,"White, non-Hispanic","Female",11,0.362
"3191","Yes","Trump",60,45,45,69,3,3,3,1,6,3,6,6,4,4,2,2,4,1,2,85,40,65,50,60,40,70,55,60,60,70,55,60,50,85,75,55,75,90,50,30,1,0,0,1,-1,-1,0,0,1,54,13,"White, non-Hispanic","Male",24,0.873
"3192","Yes","Trump",0,70,NA,NA,7,99,7,1,4,99,1,7,4,1,4,6,4,4,1,15,100,95,50,50,50,85,50,100,50,0,51,60,29,100,60,53,85,1,51,72,0,0,0,1,-1,1,1,1,1,22,9,"White, non-Hispanic","Female",7,1.52
"3193","Yes","Clinton",85,0,85,60,2,3,7,7,3,1,4,1,1,2,1,1,1,1,1,100,0,0,100,70,60,100,70,40,85,85,15,70,85,70,85,15,100,85,85,85,1,1,1,1,1,1,1,1,0,65,13,"White, non-Hispanic","Male",27,0.618
"3194","Yes","Clinton",70,0,100,15,2,3,6,7,1,1,3,1,1,1,1,1,4,2,1,100,0,9,100,100,90,91,30,8,68,100,22,14,90,57,90,0,35,98,100,100,1,1,0,-1,0,0,1,1,0,28,13,"White, non-Hispanic","Male",19,0.776
"3195","No",NA,40,16,50,50,4,3,2,4,99,4,4,6,1,4,2,4,2,2,1,60,16,51,49,50,41,71,30,50,51,50,18,28,51,61,51,50,69,39,69,51,1,1,0,1,-1,-1,0,1,0,50,9,"White, non-Hispanic","Male",20,2.704
"3196","Yes","Clinton",70,15,50,85,4,1,1,7,1,2,2,3,1,1,1,3,6,1,5,85,0,100,100,85,85,70,50,60,70,100,60,70,70,100,100,70,50,100,100,100,1,1,0,1,-1,1,1,1,1,21,10,"Black, non-Hispanic","Female",3,2.077
"3197","Yes","Trump",30,60,30,85,6,4,4,1,4,4,1,6,4,2,1,2,4,1,2,15,60,100,0,0,50,85,50,100,50,0,50,50,50,100,50,50,100,0,50,50,-1,1,1,1,-1,0,0,0,1,63,10,"White, non-Hispanic","Female",19,0.886
