idnumber,CNweight,current_democracy,previous_democracy,future_democracy,democracy_fit,national_interest,family_interest,year_schooling,region,gender,education,education_num,occupation,age,vote,election_freefair,secure_feeling,pol_interest,pol_news,internet_use,pol_discuss,contact_highest,contact_high_official,contact_com_leader,contact_influent_non_official,contact_media,oi_gov_resp_voters,oi_gov_employee,oi_media_freedom,oi_individualism,oi_election_necc,oi_multiparty,trust_court,trust_nat_gov,trust_party,trust_local_gov,local_part,petition,protest,regime_capability,system_proud,qg_people_power,qg_equality,qg_speech_freedom,qg_gathering_freedom,qg_responsiveness,local_corruption,defend_system,current_china_influence,future_china_influence
2905,1.1343538453772095,10,6,10,NA,3,3,3,urban,Female,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,29,Yes,4,3,2,3,2,1,0,1,0,1,0,2,2,2,2,2,-2,3,4,4,3,0,0,0,4,4,3,3,3,3,4,3,4,0,1
2906,0.9325842772055855,NA,NA,NA,NA,3,3,0,urban,Female,Incomplete primary/elementary,2,Peasant/farmer,64,Yes,2,2,2,1,0,0,0,1,0,0,0,1,1,NA,-1,NA,NA,NA,4,4,4,0,0,0,NA,3,NA,3,3,3,4,3,3,1,1
2907,1.0096336220149031,NA,NA,NA,NA,3,3,0,urban,Female,Incomplete primary/elementary,2,Peasant/farmer,50,Yes,NA,1,1,2,0,0,0,0,0,0,0,1,-1,NA,-1,1,NA,NA,4,4,4,0,0,0,3,3,NA,3,3,3,4,NA,3,NA,NA
2908,1.1343538453772095,6,4,NA,NA,3,3,3,urban,Female,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,28,Yes,3,1,1,0,4,0,0,1,0,NA,0,-1,NA,1,1,1,NA,3,3,3,3,0,0,0,3,3,NA,3,3,2,3,4,NA,0,NA
2909,1.0096336220149031,10,10,10,5,3,NA,5,urban,Female,Complete secondary/high school,7,Peasant/farmer,53,Yes,2,3,1,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,2,4,4,4,0,0,0,4,3,2,2,3,2,4,NA,4,NA,NA
2910,0.9283729259234262,8,5,10,5,3,3,3,urban,Female,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,47,Yes,2,2,2,4,0,0,0,0,0,0,0,-1,-1,1,-1,1,-1,2,4,4,2,0,0,0,2,3,3,3,3,2,4,4,NA,0,1
2911,0.8788030177036141,9,4,10,NA,3,3,3,rural,Female,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,43,Yes,4,3,3,0,0,0,0,2,0,2,0,-1,1,-1,1,1,-1,NA,4,4,3,0,0,0,3,3,3,3,3,3,3,NA,3,NA,1
2912,0.856105462941635,10,6,10,NA,3,3,1,rural,Male,Complete primary/elementary,3,Peasant/farmer,53,Yes,4,3,1,3,0,0,0,0,0,0,0,-1,1,-1,1,1,-1,NA,4,4,3,0,0,0,NA,3,3,3,3,3,3,NA,3,1,1
2913,0.8827895064432449,NA,NA,NA,NA,3,3,0,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,64,Yes,4,3,1,0,0,0,0,1,0,0,0,-1,1,-1,1,1,-1,NA,4,4,3,0,0,0,NA,3,3,3,3,3,3,NA,3,NA,NA
2915,0.9618603251328185,5,6,6,9,1,2,7,rural,Male,University education completed,9,Not employed,21,Yes,3,2,3,3,4,1,0,0,1,1,1,1,1,-1,-1,1,-1,3,3,3,3,0,0,1,3,3,3,2,2,2,3,3,2,1,1
2916,0.8827895064432449,NA,NA,NA,NA,4,4,1,rural,Female,Complete primary/elementary,3,Peasant/farmer,67,Yes,5,4,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,4,NA,0,0,0,NA,NA,3,3,3,3,NA,NA,NA,NA,NA
2917,0.7907724910902311,8,5,10,10,3,3,2,rural,Male,Incomplete secondary/high school: technical/vocational type,4,Peasant/farmer,66,Yes,3,3,3,4,0,0,0,0,0,0,0,-1,-1,-1,-1,NA,-1,NA,NA,4,4,0,0,0,3,3,4,1,3,3,4,NA,4,0,NA
2918,0.9557248483083305,NA,NA,NA,NA,3,3,0,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,57,Yes,5,4,3,4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4,4,4,4,0,0,0,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA
2919,0.8788030177036141,NA,NA,NA,NA,3,3,0,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,47,Yes,5,2,1,4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4,4,4,NA,0,0,0,NA,NA,3,4,4,4,NA,NA,NA,NA,NA
2920,1.0737857111350257,NA,NA,NA,5,NA,3,5,rural,Female,Complete secondary/high school,7,Not employed,20,No,4,3,2,3,5,1,0,0,0,0,0,NA,-1,-1,NA,-1,NA,3,3,3,3,0,0,0,NA,3,3,2,2,2,2,NA,NA,NA,NA
2921,0.7872015315258817,10,5,10,10,3,3,5,rural,Male,Complete secondary/high school,7,Peasant/farmer,41,Yes,2,3,2,3,0,0,0,0,0,0,0,-2,-2,2,2,2,-2,2,4,4,2,0,0,0,4,4,3,2,3,3,4,4,4,1,1
2922,0.8827895064432449,10,6,10,10,4,4,0,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,70,Yes,5,4,2,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4,4,4,4,0,0,0,4,4,3,3,3,3,4,2,NA,1,1
2923,0.8827895064432449,10,10,10,10,3,3,3,rural,Female,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,61,Yes,4,3,3,4,0,1,0,0,0,0,0,2,-2,2,2,-2,-2,4,4,4,3,0,0,0,4,4,3,3,3,3,4,NA,3,0,1
2924,1.19766807347271,10,3,10,2,3,3,3,rural,Female,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,39,Yes,2,3,2,4,0,0,0,0,0,0,0,-2,-2,2,2,2,-2,1,4,4,2,0,0,0,4,4,3,2,2,3,3,3,4,0,1
2925,0.7907724910902311,10,10,10,10,3,3,3,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,71,Yes,2,3,3,4,0,1,0,2,1,1,0,-2,-2,2,2,2,-2,3,4,4,3,0,0,0,4,4,3,3,3,3,4,NA,4,1,1
2926,0.8827895064432449,10,10,10,10,3,3,2,rural,Female,Incomplete secondary/high school: technical/vocational type,4,Peasant/farmer,63,Yes,4,3,1,0,0,0,0,0,0,0,0,-1,1,-1,1,1,-1,NA,4,4,3,0,0,0,3,3,3,3,3,3,3,NA,3,1,1
2927,0.8353769348807448,10,10,10,8,3,3,3,urban,Male,Complete secondary/high school: technical/vocational type,5,Not employed,74,Yes,4,3,2,4,0,1,1,0,0,0,0,-2,-2,2,2,2,-2,4,4,4,3,0,0,0,4,4,3,3,3,3,4,2,4,1,1
2928,0.9325842772055855,NA,NA,10,NA,3,3,2,urban,Female,Incomplete secondary/high school: technical/vocational type,4,Not employed,60,Not applicable,NA,4,1,3,0,0,0,0,0,0,0,-2,2,2,2,2,-2,4,4,4,3,0,0,0,4,4,NA,2,3,NA,3,NA,2,NA,1
2929,0.9325842772055855,10,7,10,NA,3,3,1,urban,Female,Complete primary/elementary,3,Not employed,65,Not applicable,NA,3,2,4,0,1,0,0,0,0,0,NA,1,NA,1,-2,-2,4,4,4,4,0,0,0,4,4,2,2,3,2,4,4,NA,0,1
2930,0.9283729259234262,10,5,10,10,3,3,1,urban,Female,Complete primary/elementary,3,Peasant/farmer,49,Yes,4,3,2,3,0,0,0,0,0,0,0,1,1,1,1,1,-1,3,4,4,3,0,0,0,3,3,3,3,3,3,4,3,3,0,1
2931,0.8353769348807448,7,5,7,5,3,3,7,urban,Male,University education completed,9,Not employed,60,Not applicable,NA,3,2,4,0,0,0,1,0,0,0,-2,2,2,-2,2,2,2,4,4,3,1,0,1,4,3,4,2,3,2,3,3,3,1,1
2932,0.8353769348807448,7,6,9,8,3,3,7,urban,Male,University education completed,9,Not employed,61,Yes,4,3,2,3,5,1,2,2,2,2,0,1,1,-1,-1,1,-1,3,4,4,3,0,0,0,3,3,3,3,3,3,4,2,4,0,1
2933,0.9043950891372622,NA,5,NA,NA,3,3,5,urban,Male,Complete secondary/high school,7,Peasant/farmer,59,Yes,2,3,3,4,4,1,0,2,2,2,0,NA,NA,NA,NA,NA,NA,4,4,4,4,0,0,0,NA,NA,3,NA,NA,NA,3,NA,3,0,1
2934,1.1343538453772095,6,5,8,8,3,3,7,urban,Female,University education completed,9,Working for an outside employer,24,Not applicable,NA,3,3,4,5,1,0,2,2,2,0,-1,1,-1,1,1,-1,3,4,4,3,0,0,0,2,3,2,3,2,3,3,3,2,0,1
2935,0.8353769348807448,8,6,9,8,4,4,7,urban,Male,University education completed,9,Not employed,70,Not applicable,NA,3,3,4,0,2,0,0,0,0,0,1,1,1,1,NA,-1,3,4,4,3,0,0,0,3,3,3,1,3,3,3,2,3,1,1
2936,0.9043950891372622,NA,4,NA,10,3,3,3,urban,Male,Complete secondary/high school: technical/vocational type,5,Not employed,57,Yes,NA,3,3,3,0,0,0,0,0,0,0,-2,2,-2,2,1,2,NA,4,4,3,0,0,0,3,3,3,2,3,3,3,4,3,1,1
2937,1.0737857111350257,NA,NA,NA,NA,3,3,3,rural,Female,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,27,Yes,5,3,1,4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,3,3,0,0,0,NA,NA,4,2,3,3,2,2,NA,NA,NA
2938,0.8788030177036141,NA,NA,10,NA,3,3,1,rural,Female,Complete primary/elementary,3,Peasant/farmer,48,Yes,4,3,3,2,0,0,0,0,0,0,0,1,-1,1,1,-1,-1,4,4,4,4,0,0,0,3,3,3,3,3,3,3,NA,3,NA,1
2939,1.0096336220149031,NA,NA,10,NA,3,3,0,urban,Female,Incomplete primary/elementary,2,Not employed,58,No,4,3,2,2,0,0,0,0,0,0,0,NA,1,NA,1,1,-1,3,4,4,3,0,0,0,3,3,3,3,3,3,4,NA,NA,NA,1
2940,1.0161151775589086,9,NA,10,8,3,3,5,urban,Male,Complete secondary/high school,7,Not employed,19,No,3,3,3,3,4,1,0,0,0,0,0,-1,1,-1,-1,-1,-2,3,3,3,3,0,0,0,3,3,3,4,3,3,3,NA,2,0,1
2942,1.1343538453772095,8,8,10,9,3,3,7,urban,Female,University education completed,9,Working for an outside employer,23,Not applicable,NA,3,3,4,5,1,0,0,0,0,0,-2,-1,-2,2,1,-1,3,4,4,3,0,0,0,NA,2,3,2,3,3,3,3,2,0,0
2943,0.9043950891372622,5,4,9,3,3,3,5,urban,Male,Complete secondary/high school,7,Working for an outside employer,52,Not applicable,NA,3,2,4,1,1,NA,2,2,NA,0,1,-1,1,-1,1,NA,4,4,4,2,0,0,0,NA,NA,3,3,NA,NA,3,2,3,1,1
2944,0.856105462941635,NA,NA,NA,8,3,3,0,rural,Male,Incomplete primary/elementary,2,Peasant/farmer,56,Yes,5,NA,2,4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,4,3,0,0,0,NA,NA,4,1,3,3,3,4,NA,NA,NA
2945,0.856105462941635,8,4,10,3,2,3,2,rural,Male,Incomplete secondary/high school: technical/vocational type,4,Working in family business,52,Yes,5,4,1,3,0,0,0,0,0,0,0,-1,-1,-1,NA,-1,NA,NA,4,4,3,0,0,0,3,3,4,1,3,2,4,4,NA,1,1
2946,0.8827895064432449,7,7,10,NA,3,3,0,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,75,Yes,5,3,2,1,0,0,0,0,0,0,0,NA,NA,NA,2,2,-2,3,4,4,4,0,0,0,3,3,3,3,3,3,4,NA,3,NA,NA
2947,0.7907724910902311,7,2,10,10,4,4,0,rural,Male,Incomplete primary/elementary,2,Peasant/farmer,65,Yes,2,3,3,2,0,0,0,2,0,2,0,2,2,2,2,2,-2,3,4,4,3,0,0,0,4,4,4,4,4,4,4,4,2,0,0
2948,0.8353769348807448,8,5,8,7,2,3,7,urban,Male,University education completed,9,Not employed,65,Yes,5,3,4,4,4,2,0,0,0,0,0,1,1,-1,-1,2,-1,NA,3,3,3,0,0,0,3,3,3,2,3,2,3,3,3,1,1
2949,0.7907724910902311,NA,7,NA,8,4,3,1,rural,Male,Complete primary/elementary,3,Peasant/farmer,72,Yes,4,3,1,1,0,0,0,0,0,0,0,-2,-2,NA,-2,2,-2,2,4,4,2,0,0,0,3,3,3,4,4,4,4,3,NA,0,1
2950,0.856105462941635,10,6,10,NA,3,3,3,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,57,Yes,5,4,1,1,0,0,0,0,0,0,0,-1,-1,NA,-1,1,NA,3,3,3,3,0,0,0,3,3,3,3,3,NA,NA,1,NA,NA,NA
2951,0.8788030177036141,NA,NA,NA,NA,4,4,3,rural,Female,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,46,Yes,4,3,4,1,0,0,0,0,0,0,0,NA,-2,2,2,NA,1,NA,4,4,3,0,0,0,3,3,4,4,4,4,3,NA,4,NA,NA
2952,0.7872015315258817,10,10,10,7,4,4,3,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,49,Yes,4,3,3,3,0,1,0,0,0,1,0,NA,NA,1,1,-1,-1,3,4,4,3,0,0,0,3,3,3,3,3,3,4,NA,4,1,1
2953,0.856105462941635,7,3,10,2,2,2,5,rural,Male,Complete secondary/high school,7,Peasant/farmer,52,Yes,4,3,1,4,0,0,0,0,0,0,0,-1,-1,-1,1,-1,-1,1,3,3,1,0,0,0,3,3,4,2,2,2,4,3,4,0,1
2954,0.8827895064432449,NA,NA,10,NA,4,4,1,rural,Female,Complete primary/elementary,3,Peasant/farmer,62,Yes,3,3,2,2,0,0,0,0,0,0,0,NA,NA,NA,1,NA,NA,4,4,4,4,0,0,0,4,4,3,4,4,4,4,NA,3,1,NA
2955,1.19766807347271,NA,NA,NA,NA,NA,NA,3,rural,Female,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,36,Not applicable,NA,NA,3,4,5,1,0,0,0,0,0,-1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2956,0.8788030177036141,NA,NA,NA,NA,3,NA,1,rural,Female,Complete primary/elementary,3,Peasant/farmer,43,Not applicable,NA,4,1,0,0,0,0,1,0,0,0,-1,-1,-1,1,1,NA,NA,4,NA,4,0,0,0,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA
2957,0.856105462941635,8,7,10,3,3,3,0,rural,Male,Incomplete primary/elementary,2,Peasant/farmer,56,Not applicable,NA,2,1,0,0,0,0,0,0,0,0,2,2,1,-1,2,-2,NA,4,4,2,0,0,0,3,3,3,2,2,NA,4,4,3,1,1
2958,0.8788030177036141,NA,NA,NA,10,3,4,5,rural,Female,Complete secondary/high school,7,Peasant/farmer,47,Yes,4,3,3,4,0,1,0,0,0,0,0,1,-1,-1,1,1,-1,3,4,4,4,0,0,0,3,3,4,4,4,4,4,3,3,0,NA
2960,0.856105462941635,7,NA,10,10,3,3,3,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,55,Yes,4,3,3,4,0,1,0,0,0,0,0,2,2,2,-2,2,-2,4,4,4,3,0,0,0,4,4,3,3,3,3,3,NA,2,0,NA
2961,1.0737857111350257,NA,NA,10,NA,4,4,3,rural,Female,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,26,Yes,4,4,2,2,5,0,0,0,0,0,0,2,2,-1,1,-1,-1,3,3,4,3,0,0,0,NA,NA,4,3,2,2,2,NA,3,0,NA
2962,0.9557248483083305,10,8,10,10,3,3,1,rural,Female,Complete primary/elementary,3,Peasant/farmer,53,Yes,5,3,1,0,0,0,0,0,0,1,0,2,-2,-2,2,2,-2,4,4,4,4,0,0,0,3,3,3,3,3,3,4,NA,3,NA,NA
2963,1.0737857111350257,10,6,10,8,3,3,7,rural,Female,University education completed,9,Working for an outside employer,29,Not applicable,NA,3,3,1,5,1,0,0,0,0,0,2,2,-1,1,1,-1,NA,4,4,3,0,0,0,3,3,3,3,3,3,3,NA,3,1,1
2964,0.7907724910902311,10,10,10,10,4,4,1,rural,Male,Complete primary/elementary,3,Peasant/farmer,72,Yes,2,3,3,2,0,0,0,0,1,0,0,NA,-1,NA,-1,1,NA,2,3,4,3,0,0,0,4,4,3,3,2,3,4,3,1,1,1
2965,0.8788030177036141,NA,NA,NA,NA,3,3,1,rural,Female,Complete primary/elementary,3,Peasant/farmer,41,Yes,4,3,2,1,0,0,0,0,0,0,0,-2,-1,-2,-2,-1,-1,3,4,2,3,0,0,0,4,3,2,4,3,3,3,3,2,NA,NA
2966,1.19766807347271,9,9,10,8,3,3,3,rural,Female,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,36,Yes,3,4,2,4,5,0,0,0,0,0,0,-1,1,-1,1,1,NA,2,4,4,4,0,0,0,3,3,2,3,3,3,2,4,3,0,0
2967,0.7907724910902311,NA,6,NA,6,4,4,2,rural,Male,Incomplete secondary/high school: technical/vocational type,4,Peasant/farmer,72,Yes,4,3,4,4,0,2,0,2,0,0,0,-1,-1,-1,NA,2,-2,2,3,4,3,0,0,0,3,3,4,1,1,1,3,3,NA,1,1
2968,0.856105462941635,8,5,10,10,3,3,3,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,59,Yes,4,3,3,3,0,1,0,1,0,0,0,-2,-2,2,2,1,-2,NA,NA,NA,3,0,0,0,3,3,3,3,3,3,3,3,3,NA,NA
2969,0.8788030177036141,NA,NA,NA,NA,3,NA,1,rural,Female,Complete primary/elementary,3,Peasant/farmer,47,Yes,4,3,1,0,0,0,0,0,0,0,0,1,-1,NA,1,NA,-1,NA,4,4,NA,0,0,0,NA,3,NA,3,3,3,NA,NA,NA,NA,NA
2970,0.7907724910902311,10,8,10,9,3,3,0,rural,Male,Incomplete primary/elementary,2,Peasant/farmer,74,Yes,5,3,4,3,0,1,0,0,0,0,0,1,1,NA,2,2,-1,4,4,4,4,0,0,0,3,3,3,3,3,3,4,3,3,1,1
2971,1.19766807347271,7,5,10,10,4,4,5,rural,Female,Complete secondary/high school,7,Working in family business,35,Yes,4,4,2,3,0,0,0,0,0,0,0,-2,-2,2,-2,2,-2,4,4,4,4,0,0,0,3,3,3,3,3,3,4,NA,3,0,1
2972,0.7872015315258817,8,5,10,1,3,3,5,rural,Male,Complete secondary/high school,7,Working for an outside employer,44,Yes,2,3,4,4,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,NA,4,4,3,0,0,0,3,3,3,1,3,3,4,3,4,1,1
2973,0.8788030177036141,7,6,1,NA,3,3,0,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,41,Yes,4,3,2,2,0,1,0,0,0,0,0,1,1,1,-1,-1,-1,3,4,4,3,0,0,0,3,3,3,3,3,3,4,2,NA,1,1
2974,0.9043950891372622,10,5,10,10,4,4,3,urban,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,54,Yes,5,3,2,4,1,0,0,0,0,0,0,-2,-2,2,-2,2,-2,4,4,4,4,0,0,0,4,4,3,3,3,2,4,3,4,1,1
2975,1.0161151775589086,10,7,10,6,2,3,5,urban,Male,Complete secondary/high school,7,Not employed,18,Not applicable,3,3,3,4,5,1,0,0,0,0,0,1,2,-1,-1,-1,-1,3,3,3,3,0,0,0,3,3,2,2,2,2,3,3,3,1,1
2976,1.1343538453772095,9,4,10,9,4,3,7,urban,Female,University education completed,9,Working for an outside employer,24,Not applicable,NA,4,3,4,4,1,0,0,0,0,0,-2,NA,-2,-2,2,-1,3,4,2,3,0,0,0,3,3,2,2,3,2,3,3,4,1,1
2977,0.9043950891372622,NA,5,NA,7,4,3,5,urban,Male,Complete secondary/high school,7,Not employed,58,Yes,4,4,2,4,0,2,0,0,1,0,0,2,-2,2,2,2,-2,2,4,4,2,0,0,0,3,3,3,3,3,3,4,3,3,0,0
2978,0.8316045511811848,6,6,7,9,4,4,5,urban,Male,Complete secondary/high school,7,Not employed,49,Yes,4,3,1,4,0,0,0,0,0,0,0,-2,2,2,-2,1,-1,1,1,4,2,0,0,0,3,3,3,3,3,3,3,3,2,0,0
2980,1.0737857111350257,5,4,10,5,3,3,4,rural,Female,Incomplete secondary/high school,6,Peasant/farmer,23,Yes,4,3,2,2,0,1,0,0,0,0,0,1,-1,1,1,1,-1,3,3,3,3,0,0,0,NA,NA,3,2,2,2,3,NA,3,0,1
2981,0.9325842772055855,9,6,10,8,3,3,3,urban,Female,Complete secondary/high school: technical/vocational type,5,Not employed,63,Not applicable,NA,3,2,0,0,0,0,1,0,2,0,1,1,-1,1,-1,-1,NA,4,4,3,0,0,0,NA,3,3,3,3,3,NA,3,3,1,NA
2982,0.8316045511811848,8,6,10,NA,3,3,5,urban,Male,Complete secondary/high school,7,Not employed,41,Not applicable,NA,3,2,4,4,1,0,0,0,0,0,1,1,-1,-1,1,-1,3,3,3,3,0,0,0,4,4,3,3,3,3,4,NA,3,NA,NA
2983,0.9283729259234262,8,6,10,7,3,3,3,urban,Female,Complete secondary/high school: technical/vocational type,5,Not employed,47,Yes,4,3,2,0,0,1,0,2,0,2,0,1,1,-1,1,1,-1,3,4,4,3,0,0,0,3,3,3,3,3,3,3,3,3,1,1
2984,0.9283729259234262,3,4,9,3,3,NA,5,urban,Female,Complete secondary/high school,7,Working for an outside employer,49,Not applicable,NA,3,2,4,5,1,0,1,0,0,0,1,1,1,-1,1,1,2,4,4,2,0,0,0,2,2,3,3,2,2,4,4,2,0,0
2985,0.8827895064432449,NA,NA,NA,NA,3,3,0,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,74,Yes,4,3,1,2,0,0,0,0,0,0,0,NA,NA,NA,1,-1,-2,NA,4,4,4,0,0,0,3,3,3,3,3,3,4,3,NA,NA,1
2986,1.19766807347271,7,5,10,3,3,3,1,rural,Female,Complete primary/elementary,3,Peasant/farmer,33,Yes,4,3,2,3,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,4,4,4,4,0,0,0,3,3,3,2,3,2,2,2,2,0,0
2987,0.856105462941635,NA,NA,10,NA,3,3,0,rural,Male,Incomplete primary/elementary,2,Peasant/farmer,58,Yes,5,4,3,4,0,1,0,0,0,0,0,1,-1,-1,-1,-1,-1,4,4,4,4,0,0,0,3,3,3,3,3,3,4,NA,4,1,1
2988,1.19766807347271,NA,NA,10,10,3,3,2,rural,Female,Incomplete secondary/high school: technical/vocational type,4,Peasant/farmer,36,Yes,5,3,2,3,4,1,0,0,0,0,0,1,-1,1,1,1,-1,NA,4,4,2,0,0,0,3,3,3,2,3,3,3,NA,3,0,1
2990,1.0096336220149031,10,8,10,NA,4,4,3,urban,Female,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,59,Not applicable,NA,3,3,2,0,1,0,0,0,0,0,1,1,1,1,1,-1,NA,4,4,3,0,0,0,4,4,3,3,3,3,4,3,4,1,1
2991,1.0161151775589086,7,5,10,10,3,3,7,urban,Male,University education completed,9,Not employed,22,Not applicable,NA,3,3,3,5,1,0,0,0,0,0,1,1,1,-1,1,-1,3,4,4,3,0,0,0,3,3,3,2,3,3,3,3,3,0,1
2992,1.1343538453772095,NA,NA,10,7,3,3,7,urban,Female,University education completed,9,Not employed,21,Yes,3,3,3,2,5,1,0,0,0,0,0,1,1,-1,1,1,-1,3,4,4,3,0,0,0,3,3,3,3,3,3,3,2,3,1,1
2993,1.0096336220149031,8,NA,10,10,3,3,3,urban,Female,Complete secondary/high school: technical/vocational type,5,Not employed,59,Not applicable,NA,3,2,4,0,1,0,0,0,0,0,1,-1,-1,-1,-1,-1,3,4,4,3,0,0,0,3,3,3,3,3,3,4,NA,3,0,1
2994,1.265223936713798,7,5,10,7,3,3,6,urban,Female,Some university education,8,Working for an outside employer,35,Not applicable,NA,3,3,3,1,1,0,0,0,0,0,1,1,1,-1,1,-1,3,4,4,3,0,0,0,3,3,3,3,3,3,4,2,3,0,1
2995,0.9283729259234262,9,5,10,6,3,3,5,urban,Female,Complete secondary/high school,7,Not employed,40,Not applicable,NA,3,2,0,1,0,0,0,0,0,0,1,1,1,1,1,-1,NA,4,4,3,0,0,0,3,3,3,3,3,3,3,3,3,1,1
2996,0.8827895064432449,NA,NA,NA,NA,3,3,0,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,65,Yes,5,3,1,0,0,0,0,0,0,0,0,-1,-1,NA,1,1,1,NA,4,4,4,0,0,0,NA,NA,NA,3,3,3,NA,3,NA,NA,NA
2997,1.19766807347271,NA,NA,NA,6,3,3,3,rural,Female,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,30,Yes,3,3,2,2,0,0,0,0,0,0,0,-1,-1,1,1,-1,-1,3,4,4,3,0,0,0,3,3,3,2,3,2,3,NA,3,1,0
2998,0.9618603251328185,6,3,7,5,2,3,7,rural,Male,University education completed,9,Working for an outside employer,28,No,2,3,3,4,5,0,0,1,0,0,0,1,1,1,-1,1,1,3,3,3,3,0,0,0,3,3,3,2,2,2,2,3,3,1,1
2999,0.9557248483083305,NA,NA,NA,NA,4,4,0,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,56,Yes,4,4,2,4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,3,4,3,0,0,0,NA,3,4,3,3,3,NA,NA,NA,NA,NA
3e3,1.0737857111350257,5,4,9,10,2,3,7,rural,Female,University education completed,9,Not employed,24,Not applicable,NA,3,3,4,5,1,0,2,0,0,0,-1,NA,-1,NA,1,NA,3,4,3,3,0,0,0,3,2,3,3,3,2,3,3,3,1,1
3001,1.0737857111350257,NA,4,10,8,2,3,3,rural,Female,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,29,No,NA,3,3,4,0,1,0,0,0,0,0,1,1,-1,1,1,-1,4,4,4,3,0,0,0,2,2,3,3,3,3,4,2,2,0,0
3002,0.7872015315258817,5,5,10,8,2,3,3,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,41,Not applicable,NA,3,3,4,0,0,0,0,0,0,0,1,1,-1,1,1,-1,3,4,4,2,0,0,0,2,3,3,3,3,3,3,4,3,1,1
3003,0.9557248483083305,10,10,10,10,3,3,0,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,53,Yes,5,3,1,0,0,0,0,0,0,0,0,1,1,NA,1,-1,-1,4,4,4,4,0,0,0,NA,NA,3,3,3,3,4,NA,3,NA,NA
3004,1.19766807347271,5,5,5,5,2,2,5,rural,Female,Complete secondary/high school,7,Peasant/farmer,33,No,4,3,3,3,1,1,0,0,1,1,0,-1,1,-1,1,1,-1,3,3,3,3,0,0,0,3,3,3,4,3,2,3,3,3,1,1
3005,0.9618603251328185,8,8,9,8,2,3,5,rural,Male,Complete secondary/high school,7,Working for an outside employer,25,Yes,3,3,2,1,4,0,1,1,0,1,0,1,1,-1,1,1,-1,NA,3,3,3,0,0,0,2,3,3,3,3,3,3,3,3,0,1
3006,0.9618603251328185,NA,NA,NA,NA,4,4,1,rural,Male,Complete primary/elementary,3,Working for an outside employer,28,Yes,5,3,1,3,0,0,0,0,0,0,0,1,-1,NA,1,1,NA,NA,3,3,3,0,0,0,NA,NA,3,2,3,3,3,NA,NA,NA,NA
3007,0.8827895064432449,NA,NA,NA,10,4,4,0,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,60,Yes,4,4,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4,4,4,4,0,0,0,NA,NA,3,3,3,3,3,NA,NA,NA,NA
3008,0.9557248483083305,NA,NA,NA,NA,3,3,0,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,52,Yes,4,4,2,2,0,1,0,0,0,0,0,2,NA,NA,NA,NA,NA,3,3,3,3,0,0,0,NA,NA,3,3,3,3,NA,2,NA,NA,NA
